,dates,days,day1,population,susceptibles,isolated,isolatedinfected,infectednotisolated,infected,importedinfections,accumulatedinfected,tested_mit,confirmed,deaths,recovered,beta,susceptibleprop,newtested_mit,newimportedinfections,newinfected,newisolated,newisolatedinfected,newconfirmed,newrecovered,requireddxtests,actualdxtests,newdeaths,truepositives,falsepositives,truenegatives,falsenegatives,ppv,npv,incidence,prevalence,p_case_all_simulated,p_case_all,reff,positive rate,detection rate,actualdeaths,actualcases,actualnewtests_mit,actualnewdeaths,actualnewcases
0,2019-11-23,0,0,331002999.0,331002999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2019-11-24,3,3,331002999.0,331002979.0,0.0,0.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.042241327245498e-08,6.042241327245498e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2019-11-25,6,6,331002999.0,331002959.0,0.0,0.0,40.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.042241327245498e-08,1.2084482654490995e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2019-11-26,9,9,331002999.0,331002939.0,0.0,0.0,60.0,60.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.042241327245498e-08,1.8126723981736493e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2019-11-27,12,12,331002999.0,331002919.0,0.0,0.0,80.0,80.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.042241327245498e-08,2.416896530898199e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2019-11-28,15,15,331002999.0,331002892.09599996,0.0,0.0,106.904,106.904,0.0,106.904,0.0,0.0,0.0,0.0,0.0,3.0,0.0,20.0,26.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.12772092134428e-08,3.229698834239263e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2019-11-29,18,18,331002999.0,331002858.288,0.0,0.0,140.712,140.712,0.0,140.712,0.0,0.0,0.0,0.0,0.0,3.0,0.0,20.0,33.808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0213804739575789e-07,4.251079308196842e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2019-11-30,21,21,331002999.0,331002817.57600003,0.0,0.0,181.424,181.424,0.0,181.424,0.0,0.0,0.0,0.0,0.0,3.0,0.0,20.0,40.711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.229928433367457e-07,5.481037952770936e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2019-12-01,24,24,331002999.0,331002769.96,0.0,0.0,229.04,229.04,0.0,229.04,0.0,0.0,0.0,0.0,0.0,3.0,0.0,20.0,47.616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.438536815190608e-07,6.919574767961543e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2019-12-02,27,27,331002999.0,331002713.057,0.0,0.0,285.943,285.943,0.0,285.943,0.0,0.0,0.0,0.0,0.0,3.0,0.0,20.0,56.903999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7191385024278886e-07,8.638683059182795e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2019-12-03,30,30,331002999.0,331002644.48300004,0.0,0.0,354.517,354.517,0.0,354.517,0.0,0.0,0.0,0.0,0.0,3.0,0.0,20.0,68.574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0717032838726637e-07,1.071038634305546e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2019-12-04,33,33,331002999.0,331002561.85400003,0.0,0.0,437.146,437.146,0.0,437.146,0.0,0.0,0.0,0.0,0.0,3.0,0.0,20.0,82.628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4962915819382047e-07,1.32067081362003e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
