,dates,days,day1,population,susceptibles,isolated,isolatedinfected,infectednotisolated,infected,importedinfections,accumulatedinfected,tested_mit,confirmed,deaths,recovered,beta,susceptibleprop,newtested_mit,newimportedinfections,newinfected,newisolated,newisolatedinfected,newconfirmed,newrecovered,requireddxtests,actualdxtests,newdeaths,truepositives,falsepositives,truenegatives,falsenegatives,ppv,npv,incidence,prevalence,p_case_all_simulated,p_case_all,reff,positive rate,detection rate,actualdeaths,actualcases,actualnewtests_mit,actualnewdeaths,actualnewcases
0,2019-11-23,0,0,65273999.0,65273999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2019-11-24,3,3,65273999.0,65273979.0,0.0,0.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06400715543719e-07,3.06400715543719e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2019-11-25,6,6,65273999.0,65273959.0,0.0,0.0,40.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06400715543719e-07,6.12801431087438e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2019-11-26,9,9,65273999.0,65273939.0,0.0,0.0,60.0,60.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06400715543719e-07,9.19202146631157e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2019-11-27,12,12,65273999.0,65273919.0,0.0,0.0,80.0,80.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06400715543719e-07,1.225602862174876e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2019-11-28,15,15,65273999.0,65273892.102,0.0,0.0,106.898,106.898,0.0,106.898,0.0,0.0,0.0,0.0,0.0,3.0,0.0,20.0,26.897000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.120630022989706e-07,1.6376811845096237e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2019-11-29,18,18,65273999.0,65273858.307,0.0,0.0,140.69299999999998,140.69299999999998,0.0,140.69299999999998,0.0,0.0,0.0,0.0,0.0,3.0,0.0,20.0,33.795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.177406090899992e-07,2.1554217935996226e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2019-11-30,21,21,65273999.0,65273817.616,0.0,0.0,181.38400000000001,181.38400000000001,0.0,181.38400000000001,0.0,0.0,0.0,0.0,0.0,3.0,0.0,20.0,40.693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.234182158810279e-07,2.778809369409097e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2019-12-01,24,24,65273999.0,65273770.026999995,0.0,0.0,228.973,228.973,0.0,228.973,0.0,0.0,0.0,0.0,0.0,3.0,0.0,20.0,47.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.290805026362794e-07,3.507874552009599e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2019-12-02,27,27,65273999.0,65273713.162,0.0,0.0,285.838,285.838,0.0,285.838,0.0,0.0,0.0,0.0,0.0,3.0,0.0,20.0,56.866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.711891545054563e-07,4.379048386479278e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2019-12-03,30,30,65273999.0,65273644.642000005,0.0,0.0,354.358,354.358,0.0,354.358,0.0,0.0,0.0,0.0,0.0,3.0,0.0,20.0,68.521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0497441714885586e-06,5.42877723793206e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2019-12-04,33,33,65273999.0,65273562.087000005,0.0,0.0,436.913,436.913,0.0,436.913,0.0,0.0,0.0,0.0,0.0,3.0,0.0,20.0,82.553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2647149135140318e-06,6.693522791517645e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2019-12-05,36,36,65273999.0,65273463.12100001,0.0,0.0,535.879,535.879,0.0,535.879,0.0,0.0,0.0,0.0,0.0,3.0,0.0,20.0,98.967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.516177980760762e-06,8.209685452242631e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2019-12-06,39,39,65273999.0,65273375.215,0.0,0.0,623.785,623.785,0.0,623.785,0.0,0.0,0.0,0.0,0.0,3.0,0.0,20.0,87.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.346707744993531e-06,9.556408517271937e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2019-12-07,42,42,65273999.0,65273309.057,0.0,0.0,689.943,689.943,0.0,689.943,0.0,0.0,0.0,0.0,0.0,3.0,0.0,20.0,66.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0135582469828454e-06,1.0569951444219007e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2019-12-08,45,45,65273999.0,65273279.025000006,0.0,0.0,719.975,719.975,0.0,719.975,0.0,0.0,0.0,0.0,0.0,3.0,0.0,20.0,30.032000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6009131446044853e-07,1.1030042758679455e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2019-12-09,48,48,65273999.0,65273246.717999995,0.0,0.0,732.492,732.492,0.0,752.282,0.0,0.0,0.0,19.79,0.0,3.0,0.0,20.0,32.307,0.0,0.0,0.0,19.79,39.580999999999996,39.580999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.949443958535465e-07,1.1524987154533003e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2019-12-10,51,51,65273999.0,65273212.386999995,0.0,0.0,747.0319999999999,747.0319999999999,0.0,786.613,0.0,0.0,0.0,39.580999999999996,0.0,3.0,0.0,20.0,34.330999999999996,0.0,0.0,0.0,19.79,39.580999999999996,39.580999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.259521482665708e-07,1.2050939302799574e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2019-12-11,54,54,65273999.0,65273176.53,0.0,0.0,763.099,763.099,0.0,822.47,0.0,0.0,0.0,59.371,0.0,3.0,0.0,20.0,35.859,0.0,0.0,0.0,19.79,39.580999999999996,39.580999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.49361162934111e-07,1.260026982566213e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2019-12-12,57,57,65273999.0,65273139.969,0.0,0.0,779.8699999999999,779.8699999999999,0.0,859.031,0.0,0.0,0.0,79.161,0.0,3.0,0.0,20.0,36.559,0.0,0.0,0.0,19.79,39.580999999999996,39.580999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.600851879781411e-07,1.3160385653711823e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2019-12-13,60,60,65273999.0,65273103.106000006,0.0,0.0,790.1170000000001,790.1170000000001,0.0,895.894,0.0,0.0,0.0,105.778,0.0,3.0,0.0,20.0,36.864000000000004,0.0,0.0,0.0,26.616,53.231,53.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.64757798890183e-07,1.3725128132566231e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2019-12-14,63,63,65273999.0,65273065.889,0.0,0.0,793.894,793.894,0.0,933.111,0.0,0.0,0.0,139.217,0.0,3.0,0.0,20.0,37.217,0.0,0.0,0.0,33.441,66.881,66.881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.701657715195296e-07,1.429529390408576e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2019-12-15,66,66,65273999.0,65273028.282,0.0,0.0,791.235,791.235,0.0,970.7180000000001,0.0,0.0,0.0,179.483,0.0,3.0,0.0,20.0,37.607,0.0,0.0,0.0,40.266000000000005,80.53,80.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.76140585472632e-07,1.4871434489558393e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2019-12-16,69,69,65273999.0,65272990.267000005,0.0,0.0,782.1589999999999,782.1589999999999,0.0,1008.733,0.0,0.0,0.0,226.57299999999998,0.0,3.0,0.0,20.0,38.014,0.0,0.0,0.0,47.09100000000001,94.18100000000001,94.18100000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.823758400339468e-07,1.5453825649628117e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2019-12-17,72,72,65273999.0,65272951.995000005,0.0,0.0,764.162,764.162,0.0,1047.005,0.0,0.0,0.0,282.843,0.0,3.0,0.0,20.0,38.272,0.0,0.0,0.0,56.269000000000005,112.539,112.539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.863284092644607e-07,1.6040154058892578e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2019-12-18,75,75,65273999.0,65272913.613000005,0.0,0.0,734.741,734.741,0.0,1085.387,0.0,0.0,0.0,350.645,0.0,3.0,0.0,20.0,38.382000000000005,0.0,0.0,0.0,67.80199999999999,135.60399999999998,135.60399999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.880136131999513e-07,1.6628167672092526e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
